invoice_id,supplier_name,invoice_amount,invoice_date,due_date,payment_date,status,rejection_flag,delay_days,risk_score
INV-1043,Zenith Parts Ltd.,15078.36,2025-02-17,2025-03-19,2025-03-16,Paid,0,-3,0.5
INV-1044,BlueRiver Exports,1473.67,2025-05-29,2025-06-28,2025-07-12,Delayed,0,14,0.51
INV-1045,Vertex Components,16908.29,2025-03-08,2025-04-07,2025-04-08,Paid,0,1,0.38
INV-1046,Nova Supply Co.,7849.93,2025-02-03,2025-03-05,2025-03-20,Delayed,0,15,0.9
INV-1047,Zenith Parts Ltd.,15718.4,2025-01-03,2025-02-02,2025-02-11,Delayed,0,9,0.25
INV-1048,Zenith Parts Ltd.,3745.19,2025-05-10,2025-06-09,2025-06-12,Paid,0,3,0.86
INV-1049,Alpha Traders,4364.8,2025-04-05,2025-05-05,2025-05-09,Paid,0,4,0.66
INV-1050,Orion Logistics,7834.78,2025-06-20,2025-07-20,2025-08-01,Delayed,0,12,0.9
INV-1051,Zenith Parts Ltd.,22297.96,2025-03-09,2025-04-08,2025-04-06,Paid,0,-2,0.4
INV-1052,Apex Manufacturing,17343.68,2025-03-29,2025-04-28,2025-04-29,Paid,0,1,0.58
INV-1053,BlueRiver Exports,16039.97,2025-01-14,2025-02-13,2025-02-10,Paid,0,-3,0.23
INV-1054,Vertex Components,24505.05,2025-02-03,2025-03-05,2025-03-20,Delayed,0,15,0.76
INV-1055,BlueRiver Exports,3240.91,2025-05-24,2025-06-23,2025-06-18,Paid,0,-5,0.61
INV-1056,BlueRiver Exports,4128.3,2025-05-30,2025-06-29,2025-07-11,Delayed,0,12,0.23
INV-1057,BlueRiver Exports,5646.88,2025-01-11,2025-02-10,2025-02-16,Delayed,0,6,0.7
INV-1058,Zenith Parts Ltd.,24359.01,2025-05-24,2025-06-23,2025-07-01,Delayed,0,8,0.89
INV-1059,BlueRiver Exports,22094.7,2025-02-11,2025-03-13,2025-03-13,Paid,0,0,0.33
INV-1060,Alpha Traders,7036.74,2025-04-16,2025-05-16,2025-05-18,Paid,0,2,0.49
INV-1061,Zenith Parts Ltd.,5389.53,2025-05-01,2025-05-31,2025-06-02,Rejected,1,2,0.46
INV-1062,Nova Supply Co.,16670.81,2025-02-27,2025-03-29,2025-03-24,Rejected,1,-5,0.45
INV-1063,BlueRiver Exports,16216.3,2025-03-13,2025-04-12,2025-04-18,Rejected,1,6,0.71
INV-1064,Apex Manufacturing,21987.44,2025-01-08,2025-02-07,2025-02-05,Paid,0,-2,0.33
INV-1065,BlueRiver Exports,15116.0,2025-01-10,2025-02-09,2025-02-07,Paid,0,-2,0.75
INV-1066,Zenith Parts Ltd.,24613.78,2025-04-22,2025-05-22,2025-06-05,Delayed,0,14,0.49
INV-1067,Zenith Parts Ltd.,17865.24,2025-03-07,2025-04-06,2025-04-02,Paid,0,-4,0.59
INV-1068,Nova Supply Co.,2214.36,2025-04-04,2025-05-04,2025-05-12,Delayed,0,8,0.67
INV-1069,Apex Manufacturing,8077.47,2025-03-18,2025-04-17,2025-04-28,Rejected,1,11,0.44
INV-1070,Orion Logistics,5200.08,2025-05-22,2025-06-21,2025-06-20,Rejected,1,-1,0.71
INV-1071,Zenith Parts Ltd.,7873.27,2025-06-07,2025-07-07,2025-07-20,Delayed,0,13,0.43
INV-1072,Sigma Industrial,15363.21,2025-04-21,2025-05-21,2025-06-03,Delayed,0,13,0.55
INV-1073,Apex Manufacturing,13023.76,2025-06-22,2025-07-22,2025-07-23,Paid,0,1,0.69
INV-1074,Zenith Parts Ltd.,15671.89,2025-05-12,2025-06-11,2025-06-26,Delayed,0,15,0.81
INV-1075,Alpha Traders,6003.7,2025-06-22,2025-07-22,2025-07-26,Paid,0,4,0.31
INV-1076,Zenith Parts Ltd.,15476.21,2025-03-04,2025-04-03,2025-04-13,Delayed,0,10,0.54
INV-1077,Alpha Traders,12612.24,2025-06-28,2025-07-28,2025-08-04,Delayed,0,7,0.31
INV-1078,Zenith Parts Ltd.,5861.61,2025-01-28,2025-02-27,2025-03-07,Rejected,1,8,0.24
INV-1079,BlueRiver Exports,3766.81,2025-02-01,2025-03-03,2025-03-12,Rejected,1,9,0.7
INV-1080,Sigma Industrial,20467.66,2025-04-24,2025-05-24,2025-06-07,Rejected,1,14,0.82
INV-1081,Apex Manufacturing,11526.71,2025-02-10,2025-03-12,2025-03-22,Delayed,0,10,0.83
INV-1082,Apex Manufacturing,15855.34,2025-05-14,2025-06-13,2025-06-23,Delayed,0,10,0.53
INV-1083,Zenith Parts Ltd.,8728.26,2025-03-02,2025-04-01,2025-04-04,Paid,0,3,0.3
INV-1084,BlueRiver Exports,17807.27,2025-04-09,2025-05-09,2025-05-08,Paid,0,-1,0.51
INV-1085,Vertex Components,10686.47,2025-05-19,2025-06-18,2025-06-27,Delayed,0,9,0.82
INV-1086,BlueRiver Exports,21489.93,2025-05-30,2025-06-29,2025-06-24,Rejected,1,-5,0.56
INV-1087,Zenith Parts Ltd.,21409.47,2025-03-18,2025-04-17,2025-04-24,Rejected,1,7,0.6
INV-1088,BlueRiver Exports,7186.92,2025-05-05,2025-06-04,2025-06-06,Rejected,1,2,0.22
INV-1089,Alpha Traders,18242.44,2025-06-21,2025-07-21,2025-07-28,Rejected,1,7,0.89
INV-1090,Vertex Components,14327.6,2025-04-11,2025-05-11,2025-05-24,Delayed,0,13,0.26
INV-1091,Zenith Parts Ltd.,4952.36,2025-02-04,2025-03-06,2025-03-15,Delayed,0,9,0.48
INV-1092,Vertex Components,8768.76,2025-04-27,2025-05-27,2025-06-01,Rejected,1,5,0.41
INV-1093,BlueRiver Exports,12022.52,2025-03-06,2025-04-05,2025-04-02,Paid,0,-3,0.95
INV-1094,Zenith Parts Ltd.,2181.15,2025-02-27,2025-03-29,2025-04-13,Delayed,0,15,0.77
INV-1095,Nova Supply Co.,15722.72,2025-02-21,2025-03-23,2025-03-18,Paid,0,-5,0.29
INV-1096,Orion Logistics,11893.33,2025-05-25,2025-06-24,2025-06-25,Paid,0,1,0.78
INV-1097,Orion Logistics,24111.5,2025-06-05,2025-07-05,2025-07-19,Delayed,0,14,0.78
INV-1098,Vertex Components,14677.78,2025-03-21,2025-04-20,2025-04-18,Paid,0,-2,0.63
INV-1099,Apex Manufacturing,2361.91,2025-04-12,2025-05-12,2025-05-13,Paid,0,1,0.28
INV-1100,Vertex Components,20235.44,2025-06-25,2025-07-25,2025-08-08,Delayed,0,14,0.46
INV-1101,Vertex Components,2189.44,2025-06-19,2025-07-19,2025-07-25,Delayed,0,6,0.21
INV-1102,Sigma Industrial,11121.32,2025-05-06,2025-06-05,2025-06-03,Paid,0,-2,0.68
INV-1103,Sigma Industrial,4815.36,2025-02-09,2025-03-11,2025-03-19,Delayed,0,8,0.66
INV-1104,Zenith Parts Ltd.,20730.5,2025-04-30,2025-05-30,2025-06-07,Delayed,0,8,0.44
INV-1105,Vertex Components,22099.96,2025-01-23,2025-02-22,2025-02-25,Paid,0,3,0.76
INV-1106,Zenith Parts Ltd.,12610.51,2025-03-28,2025-04-27,2025-04-22,Paid,0,-5,0.34
INV-1107,Zenith Parts Ltd.,8838.3,2025-04-01,2025-05-01,2025-05-04,Paid,0,3,0.62
INV-1108,Zenith Parts Ltd.,18141.83,2025-01-22,2025-02-21,2025-02-23,Rejected,1,2,0.62
INV-1109,Alpha Traders,16324.62,2025-06-26,2025-07-26,2025-08-05,Rejected,1,10,0.54
INV-1110,BlueRiver Exports,5929.11,2025-01-24,2025-02-23,2025-02-27,Paid,0,4,0.43
INV-1111,BlueRiver Exports,13507.59,2025-05-02,2025-06-01,2025-06-13,Rejected,1,12,0.95
INV-1112,Zenith Parts Ltd.,7137.45,2025-04-01,2025-05-01,2025-05-10,Delayed,0,9,0.37
INV-1113,Sigma Industrial,18700.59,2025-03-22,2025-04-21,2025-04-19,Paid,0,-2,0.34
INV-1114,Zenith Parts Ltd.,24426.87,2025-03-12,2025-04-11,2025-04-24,Delayed,0,13,0.94
INV-1115,Orion Logistics,9341.59,2025-03-17,2025-04-16,2025-04-18,Paid,0,2,0.21
INV-1116,Orion Logistics,24370.23,2025-03-12,2025-04-11,2025-04-07,Paid,0,-4,0.72
INV-1117,Sigma Industrial,3013.4,2025-06-13,2025-07-13,2025-07-23,Delayed,0,10,0.63
INV-1118,Sigma Industrial,8847.3,2025-05-03,2025-06-02,2025-06-11,Delayed,0,9,0.39
INV-1119,Alpha Traders,10317.33,2025-01-30,2025-03-01,2025-02-26,Paid,0,-3,0.63
INV-1120,Zenith Parts Ltd.,20372.98,2025-02-08,2025-03-10,2025-03-09,Paid,0,-1,0.26
INV-1121,Vertex Components,19228.86,2025-01-31,2025-03-02,2025-03-14,Delayed,0,12,0.78
INV-1122,Alpha Traders,7785.15,2025-04-26,2025-05-26,2025-06-04,Rejected,1,9,0.43
INV-1123,Apex Manufacturing,23715.96,2025-06-06,2025-07-06,2025-07-04,Paid,0,-2,0.67
INV-1124,Orion Logistics,4347.9,2025-06-19,2025-07-19,2025-07-16,Paid,0,-3,0.61
INV-1125,Zenith Parts Ltd.,11537.34,2025-01-01,2025-01-31,2025-02-08,Rejected,1,8,0.42
INV-1126,Zenith Parts Ltd.,17723.2,2025-03-15,2025-04-14,2025-04-18,Rejected,1,4,0.25
INV-1127,Zenith Parts Ltd.,14949.84,2025-03-09,2025-04-08,2025-04-23,Delayed,0,15,0.52
INV-1128,Orion Logistics,22756.08,2025-06-15,2025-07-15,2025-07-14,Paid,0,-1,0.25
INV-1129,Sigma Industrial,18849.46,2025-03-20,2025-04-19,2025-05-03,Delayed,0,14,0.53
INV-1130,Sigma Industrial,17643.48,2025-06-26,2025-07-26,2025-07-30,Paid,0,4,0.58
INV-1131,Apex Manufacturing,15151.9,2025-04-23,2025-05-23,2025-05-20,Rejected,1,-3,0.75
INV-1132,Apex Manufacturing,6108.65,2025-01-07,2025-02-06,2025-02-03,Paid,0,-3,0.95
INV-1133,Sigma Industrial,19196.17,2025-05-28,2025-06-27,2025-06-23,Paid,0,-4,0.55
INV-1134,Sigma Industrial,24925.16,2025-03-13,2025-04-12,2025-04-12,Rejected,1,0,0.68
INV-1135,Nova Supply Co.,9025.05,2025-01-24,2025-02-23,2025-03-05,Delayed,0,10,0.44
INV-1136,Vertex Components,10585.3,2025-02-11,2025-03-13,2025-03-18,Rejected,1,5,0.42
INV-1137,Nova Supply Co.,11643.23,2025-05-21,2025-06-20,2025-06-16,Paid,0,-4,0.39
INV-1138,Sigma Industrial,20710.72,2025-04-14,2025-05-14,2025-05-25,Delayed,0,11,0.69
INV-1139,Sigma Industrial,5095.77,2025-04-16,2025-05-16,2025-05-12,Paid,0,-4,0.67
INV-1140,Orion Logistics,19119.77,2025-06-10,2025-07-10,2025-07-19,Delayed,0,9,0.4
INV-1141,Zenith Parts Ltd.,22080.74,2025-03-15,2025-04-14,2025-04-23,Rejected,1,9,0.29
INV-1142,Nova Supply Co.,13995.56,2025-02-10,2025-03-12,2025-03-16,Rejected,1,4,0.27
INV-1143,Apex Manufacturing,16368.89,2025-04-29,2025-05-29,2025-05-27,Paid,0,-2,0.57
INV-1144,Zenith Parts Ltd.,10679.51,2025-05-11,2025-06-10,2025-06-13,Rejected,1,3,0.94
INV-1145,Orion Logistics,4043.73,2025-04-27,2025-05-27,2025-06-08,Delayed,0,12,0.89
INV-1146,Apex Manufacturing,19430.54,2025-01-18,2025-02-17,2025-02-20,Rejected,1,3,0.45
INV-1147,Sigma Industrial,18288.25,2025-01-01,2025-01-31,2025-02-04,Rejected,1,4,0.85
INV-1148,BlueRiver Exports,8955.54,2025-05-18,2025-06-17,2025-06-27,Rejected,1,10,0.54
INV-1149,Vertex Components,14509.04,2025-02-18,2025-03-20,2025-03-22,Paid,0,2,0.84
INV-1150,Orion Logistics,18745.28,2025-01-12,2025-02-11,2025-02-16,Rejected,1,5,0.49
INV-1151,Sigma Industrial,3593.03,2025-05-07,2025-06-06,2025-06-02,Paid,0,-4,0.85
INV-1152,Vertex Components,22805.82,2025-01-26,2025-02-25,2025-03-08,Delayed,0,11,0.74
INV-1153,Vertex Components,2333.29,2025-06-17,2025-07-17,2025-07-16,Paid,0,-1,0.45
INV-1154,Sigma Industrial,21368.25,2025-06-16,2025-07-16,2025-07-13,Rejected,1,-3,0.92
INV-1155,Apex Manufacturing,15627.76,2025-05-19,2025-06-18,2025-06-14,Paid,0,-4,0.67
INV-1156,Nova Supply Co.,11132.3,2025-02-28,2025-03-30,2025-03-27,Paid,0,-3,0.77
INV-1157,Alpha Traders,17503.03,2025-04-24,2025-05-24,2025-05-24,Paid,0,0,0.23
INV-1158,Vertex Components,9683.61,2025-03-17,2025-04-16,2025-04-22,Delayed,0,6,0.38
INV-1159,Vertex Components,4664.6,2025-05-25,2025-06-24,2025-06-24,Paid,0,0,0.66
INV-1160,Apex Manufacturing,12692.85,2025-06-08,2025-07-08,2025-07-10,Paid,0,2,0.37
INV-1161,Orion Logistics,16837.6,2025-04-28,2025-05-28,2025-05-31,Rejected,1,3,0.88
INV-1162,Vertex Components,23658.27,2025-01-19,2025-02-18,2025-02-27,Delayed,0,9,0.68
INV-1163,Vertex Components,11692.48,2025-06-26,2025-07-26,2025-07-29,Paid,0,3,0.35
INV-1164,Apex Manufacturing,6311.54,2025-05-04,2025-06-03,2025-06-01,Paid,0,-2,0.63
INV-1165,Sigma Industrial,7224.77,2025-01-06,2025-02-05,2025-02-12,Delayed,0,7,0.88
INV-1166,Zenith Parts Ltd.,15373.09,2025-03-15,2025-04-14,2025-04-16,Paid,0,2,0.36
INV-1167,Alpha Traders,17105.23,2025-06-08,2025-07-08,2025-07-11,Paid,0,3,0.67
INV-1168,Nova Supply Co.,1317.43,2025-03-21,2025-04-20,2025-04-29,Delayed,0,9,0.75
INV-1169,BlueRiver Exports,18813.28,2025-03-17,2025-04-16,2025-04-21,Paid,0,5,0.35
INV-1170,Sigma Industrial,22880.43,2025-05-16,2025-06-15,2025-06-26,Delayed,0,11,0.39
INV-1171,Orion Logistics,20203.7,2025-03-17,2025-04-16,2025-04-21,Rejected,1,5,0.92
INV-1172,Vertex Components,24198.11,2025-02-27,2025-03-29,2025-04-05,Delayed,0,7,0.27
INV-1173,Apex Manufacturing,13646.02,2025-01-04,2025-02-03,2025-02-06,Rejected,1,3,0.48
INV-1174,Zenith Parts Ltd.,20649.22,2025-05-30,2025-06-29,2025-07-06,Delayed,0,7,0.28
INV-1175,Zenith Parts Ltd.,15678.9,2025-05-01,2025-05-31,2025-05-26,Paid,0,-5,0.89
INV-1176,Apex Manufacturing,16067.4,2025-06-15,2025-07-15,2025-07-12,Rejected,1,-3,0.88
INV-1177,Apex Manufacturing,3358.56,2025-06-16,2025-07-16,2025-07-24,Delayed,0,8,0.91
INV-1178,BlueRiver Exports,2881.2,2025-05-07,2025-06-06,2025-06-04,Paid,0,-2,0.49
INV-1179,Nova Supply Co.,10768.61,2025-06-21,2025-07-21,2025-08-02,Delayed,0,12,0.86
INV-1180,BlueRiver Exports,10498.84,2025-05-06,2025-06-05,2025-06-19,Delayed,0,14,0.22
INV-1181,Nova Supply Co.,11395.05,2025-02-25,2025-03-27,2025-04-05,Delayed,0,9,0.84
INV-1182,Apex Manufacturing,13839.41,2025-06-25,2025-07-25,2025-07-31,Delayed,0,6,0.25
INV-1183,Zenith Parts Ltd.,23750.76,2025-02-18,2025-03-20,2025-03-18,Rejected,1,-2,0.27
INV-1184,BlueRiver Exports,15130.08,2025-06-14,2025-07-14,2025-07-29,Delayed,0,15,0.24
INV-1185,Zenith Parts Ltd.,19780.96,2025-03-04,2025-04-03,2025-04-02,Paid,0,-1,0.25
INV-1186,Orion Logistics,20419.8,2025-05-31,2025-06-30,2025-07-01,Paid,0,1,0.45
INV-1187,Apex Manufacturing,7293.23,2025-06-02,2025-07-02,2025-06-27,Paid,0,-5,0.94
INV-1188,BlueRiver Exports,16695.91,2025-02-14,2025-03-16,2025-03-14,Paid,0,-2,0.3
INV-1189,Orion Logistics,8432.4,2025-03-02,2025-04-01,2025-04-14,Delayed,0,13,0.4
INV-1190,BlueRiver Exports,3284.41,2025-04-18,2025-05-18,2025-05-29,Delayed,0,11,0.56
INV-1191,Alpha Traders,3171.82,2025-05-12,2025-06-11,2025-06-24,Delayed,0,13,0.91
INV-1192,Sigma Industrial,7889.94,2025-06-18,2025-07-18,2025-07-29,Delayed,0,11,0.25
INV-1193,Sigma Industrial,17309.39,2025-04-13,2025-05-13,2025-05-21,Rejected,1,8,0.73
INV-1194,Apex Manufacturing,8391.74,2025-01-19,2025-02-18,2025-02-15,Paid,0,-3,0.25
INV-1195,Apex Manufacturing,14841.43,2025-06-09,2025-07-09,2025-07-24,Delayed,0,15,0.49
INV-1196,Nova Supply Co.,15332.96,2025-04-27,2025-05-27,2025-06-07,Delayed,0,11,0.79
INV-1197,Zenith Parts Ltd.,22003.8,2025-06-17,2025-07-17,2025-08-01,Delayed,0,15,0.52
INV-1198,Nova Supply Co.,20771.77,2025-04-16,2025-05-16,2025-05-21,Rejected,1,5,0.51
INV-1199,Orion Logistics,8156.83,2025-03-22,2025-04-21,2025-04-29,Delayed,0,8,0.48
INV-1200,Nova Supply Co.,2144.77,2025-06-25,2025-07-25,2025-08-04,Delayed,0,10,0.27
